2025-06-03 12:53:38,557 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-03 12:53:44,336 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-06-03 12:53:44,336 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-06-03 12:53:44,336 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-06-03 12:53:44,336 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-06-03 12:53:44,336 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-06-03 12:59:57,526 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:59:57,526 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:59:57,526 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:59:57,526 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:59:57,526 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:59:57,526 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:59:57,526 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:59:57,806 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:59:57,806 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:59:57,806 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:59:57,806 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:59:57,806 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:59:57,806 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:59:57,806 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 13:00:00,170 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 13:00:00,170 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 13:00:00,170 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 13:00:00,170 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 13:00:00,170 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 13:00:00,170 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 13:00:00,170 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 13:00:00,172 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 13:00:00,172 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 13:00:00,172 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 13:00:00,172 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 13:00:00,172 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 13:00:00,172 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 13:00:00,172 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 13:00:00,361 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 13:00:00,361 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 13:00:00,361 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 13:00:00,361 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 13:00:00,361 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 13:00:00,361 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 13:00:00,361 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 13:00:00,364 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 13:00:00,364 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 13:00:00,364 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 13:00:00,364 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 13:00:00,364 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 13:00:00,364 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 13:00:00,364 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 13:00:02,246 | INFO     | PolicyEmbeddings | Policy changes detected or no existing data, processing documents
2025-06-03 13:00:02,246 | INFO     | PolicyEmbeddings | Policy changes detected or no existing data, processing documents
2025-06-03 13:00:02,246 | INFO     | PolicyEmbeddings | Policy changes detected or no existing data, processing documents
2025-06-03 13:00:02,246 | INFO     | PolicyEmbeddings | Policy changes detected or no existing data, processing documents
2025-06-03 13:00:02,246 | INFO     | PolicyEmbeddings | Policy changes detected or no existing data, processing documents
2025-06-03 13:00:02,246 | INFO     | PolicyEmbeddings | Policy changes detected or no existing data, processing documents
2025-06-03 13:00:02,246 | INFO     | PolicyEmbeddings | Policy changes detected or no existing data, processing documents
