2025-05-27 13:46:42,907 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:42,907 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:42,907 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:42,907 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:43,181 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:43,181 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:43,181 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:43,181 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:43,181 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:43,181 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:43,181 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:43,181 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:43,181 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:43,181 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:43,181 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:43,181 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:43,181 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:43,181 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:48,583 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:46:48,583 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:46:48,583 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:46:48,583 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:46:48,583 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:46:48,583 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:46:48,583 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:46:48,583 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:46:48,583 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:46:48,583 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:46:48,583 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:46:48,583 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:46:48,583 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:46:48,583 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:51:14,244 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:51:27,275 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:51:27,275 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:51:27,275 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:51:27,557 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:51:27,557 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:51:27,557 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:51:33,186 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:51:33,186 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:51:33,186 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:53:00,303 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:53:00,303 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:53:00,303 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:53:00,303 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:58:03,431 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:58:20,772 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:58:20,772 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:58:20,772 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:58:21,024 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:58:21,024 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:58:21,024 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:58:25,395 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:58:25,395 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:58:25,395 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 20:12:09,326 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 20:12:57,501 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 20:12:57,501 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 20:12:57,501 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 20:12:57,763 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 20:12:57,763 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 20:12:57,763 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 20:13:04,551 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 20:13:04,551 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 20:13:04,551 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 20:14:42,652 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 20:14:42,652 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 20:14:42,652 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 20:14:42,652 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
