2025-05-25 19:57:06,885 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,885 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,885 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,885 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,885 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,885 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,885 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,885 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,885 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,885 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,885 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,885 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,885 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,885 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,885 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:08,505 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,505 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,505 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,505 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,505 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,505 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,505 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,505 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,505 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,505 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,505 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,505 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,505 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,505 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,505 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,505 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,505 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,672 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,672 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,672 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:08,672 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
