2025-06-06 13:39:56,506 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 13:39:58,522 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 13:40:00,594 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 13:40:02,657 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 13:40:02,658 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 13:40:10,144 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 13:40:10,144 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 13:40:12,940 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 13:40:12,940 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 13:40:12,941 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 13:40:12,941 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 13:40:14,982 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 13:40:14,982 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 13:40:17,024 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 13:40:17,024 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 13:40:19,075 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 13:40:19,075 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 13:40:19,076 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 13:40:19,076 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 14:24:13,563 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 14:24:16,425 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 14:24:16,425 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 14:24:18,497 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 14:24:20,549 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:24:22,602 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:24:22,603 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 14:24:28,204 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 14:24:28,204 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 14:24:31,101 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 14:24:31,101 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 14:24:31,102 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 14:24:31,102 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 14:24:33,144 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 14:24:33,144 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 14:24:35,192 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:24:35,192 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:24:37,274 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:24:37,274 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:24:37,275 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 14:24:37,275 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 14:24:47,473 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 14:24:47,473 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 14:31:13,096 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 14:31:16,088 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 14:31:16,088 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 14:31:18,129 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 14:31:20,185 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:31:22,261 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:31:22,261 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 14:31:28,074 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 14:31:28,074 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 14:31:30,923 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 14:31:30,923 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 14:31:30,924 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 14:31:30,924 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 14:31:32,976 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 14:31:32,976 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 14:31:35,027 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:31:35,027 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:31:37,072 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:31:37,072 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:31:37,073 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 14:31:37,073 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 14:35:13,085 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 14:35:15,971 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 14:35:15,972 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 14:35:18,021 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 14:35:20,104 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:35:22,140 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 14:35:22,140 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 14:35:27,611 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 14:35:27,611 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
